,Ratings,Reviews,Price,split_source,Discount_Ratio,Edition_Year_Freq,Vintage_Count,Fraction_Author_BookCategory,Fraction_Author_Genre,Overall_Author_Rating,Total_Books_Per_Author,"Genre_Arts History, Theory & Criticism (Books)",Genre_Asian History,Genre_Biographies & Autobiographies (Books),Genre_Cinema & Broadcast (Books),Genre_Comics,Genre_Comics & Graphic Novels (Books),Genre_Comics & Mangas (Books),Genre_Computer Science Books,Genre_Contemporary Fiction (Books),"Genre_Crime, Thriller & Mystery (Books)",Genre_Design,Genre_Dictionaries,Genre_Encyclopaedias & Reference Works (Books),Genre_Government (Books),"Genre_Handicrafts, Decorative Arts & Crafts (Books)",Genre_Healthy Living & Wellness (Books),Genre_Humour (Books),Genre_Indian Writing (Books),Genre_Language Learning & Teaching (Books),"Genre_Language, Linguistics & Writing (Books)",Genre_Linguistics (Books),Genre_Mangas,Genre_Music Books,Genre_Others,Genre_Romance (Books),Genre_Software & Business Applications (Books),Genre_Sports Training & Coaching (Books),Genre_True Accounts (Books),Genre_Writing Guides (Books),"BookCategory_Arts, Film & Photography","BookCategory_Biographies, Diaries & True Accounts",BookCategory_Comics & Mangas,"BookCategory_Computing, Internet & Digital Media","BookCategory_Crime, Thriller & Mystery",BookCategory_Humour,"BookCategory_Language, Linguistics & Writing",BookCategory_Politics,BookCategory_Romance,BookCategory_Sports,Book_Type_Mass Market Paperback,Book_Type_Others,Book_Type_Paperback
0,4.0,8,220.0,0,0.0,0.1068359625496986,3,0.19510521500457456,0.219807868252516,0.795,0.0005893620156180934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,3.9,14,202.93,0,0.0,0.0471976401179941,7,0.15416285452881975,0.018298261665141813,0.78,0.0002946810078090467,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
2,4.8,6,299.0,0,0.0,0.0017955623957932538,37,0.14089661482159194,0.005032021957913998,0.96,0.00014734050390452334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
3,4.1,13,180.0,0,0.0,0.11940489932025138,2,0.1914455626715462,0.07159194876486734,0.8486746987951812,0.012229261824075438,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
4,5.0,1,965.62,0,0.0,0.01795562395793254,13,0.13494967978042086,0.008920402561756633,1.0,0.00014734050390452334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
5,4.5,8,900.0,0,0.0,0.02988328844427344,10,0.1354071363220494,0.018526989935956084,0.9666666666666667,0.0004420215117135701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
6,4.4,72,224.0,0,0.0,0.11940489932025138,2,0.1914455626715462,0.07479414455626715,0.8486746987951812,0.012229261824075438,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
7,4.7,16,836.0,0,0.0,0.13158907272027703,1,0.1354071363220494,0.018069533394327538,0.8300000000000001,0.0002946810078090467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
8,4.2,111,130.0,0,0.0,0.08221110683596256,4,0.15416285452881975,0.10041171088746569,0.8400000000000001,0.00014734050390452334,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
10,4.9,132,373.0,0,0.0,0.11940489932025138,2,0.16285452881976212,0.01303751143641354,0.9600000000000002,0.0002946810078090467,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
11,3.5,17,309.0,0,0.0,0.13158907272027703,1,0.14501372369624885,0.0018298261665141812,0.7000000000000001,0.00014734050390452334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
