BookTitle,Date
Long Walk to Freedom: Illustrated Children's edition (Picture Book Edition),3 July 2014
"Alfred's Basic Adult All-in-One Course: Lesson, Theory, Technic (Alfred's Basic Adult Piano Course)",1 June 2011
Fundamentals of Drawing Portraits: A Practical and Inspirational Course,31 March 2010
"Cartooning, The Professional Step-by-Step Guide to: Learn to draw cartoons",3 July 2018
Amma Tell Me About Raksha Bandhan!,25 June 2018
"An Introduction to Linguistics: Language, Grammar and Semantics",1 January 2007
Swimming: Swimming Made Easy: Beginner and Expert Strategies for Becoming a Better Swimmer (Swimming Secrets Tips Coaching Training Strategy),22 March 2017
The Merchant of Venice (Text with Paraphrase) (Ratna Sagar Shakespeare),1 October 2013
The Human Face of Big Data,20 November 2012
Living Language Dothraki: A Conversational Language Course Based on the Hit Original HBO Series Game of Thrones (Living Language Courses),7 October 2014
Wise and Otherwise: A salute to Life,18 July 2006
Madhubani Art: Indian Art Series,25 February 2016
Frank Miller's Sin City Volume 2: A Dame to Kill For 3rd Edition,19 October 2010
While the Light Lasts (The Agatha Christie Collection),1997
Turning Points : A Journey Through Challanges: A Journey Through Challenges,24 November 2014
Indian Tibet Tibetan India: The Cultural Legacy of the Western Himalayas,1 January 2016
Pashu,4 December 2014
Sanskrit is Fun: A Sanskrit Coursebook for Beginner - Part - 1,1 January 2012
Gandhi: My Life is My Message,15 November 2013
"The Spy Chronicles: RAW, ISI and the Illusion of Peace",21 May 2018
Sachin Tendulkar: The Man Cricket Loved Back,1 March 2015
Max Payne 3: The Complete Series,12 November 2013
Pain is Really Strange,21 June 2015
Figure it out for Yourself,2008
The Armada Legacy (Ben Hope),9 May 2013
Mountaineering: The Freedom of the Hills,8 November 2018
34 Bubblegums and Candies,31 Dec 2007
Measurement,14 March 2014
